WARNING 2025-08-17 22:26:38,379 basehttp 8 140488190428864 "GET /static/admin/css/dark_mode.css HTTP/1.1" 404 179
WARNING 2025-08-17 22:26:38,380 basehttp 8 140487709161152 "GET /static/admin/js/theme.js HTTP/1.1" 404 179
WARNING 2025-08-17 22:26:38,382 basehttp 8 140487683983040 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 404 179
WARNING 2025-08-17 22:26:38,383 basehttp 8 140487700768448 "GET /static/admin/css/login.css HTTP/1.1" 404 179
WARNING 2025-08-17 22:26:38,384 basehttp 8 140487692375744 "GET /static/admin/css/responsive.css HTTP/1.1" 404 179
WARNING 2025-08-17 22:26:38,388 log 8 140487692375744 Not Found: /static/admin/js/nav_sidebar.js
WARNING 2025-08-17 22:26:38,389 basehttp 8 140487692375744 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 404 179
WARNING 2025-08-17 22:26:38,428 log 8 140487675590336 Not Found: /static/admin/css/nav_sidebar.css
WARNING 2025-08-17 22:26:38,429 log 8 140487683983040 Not Found: /static/admin/css/responsive.css
WARNING 2025-08-17 22:26:38,430 log 8 140487700768448 Not Found: /static/admin/css/login.css
WARNING 2025-08-17 22:26:38,431 basehttp 8 140487675590336 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 404 179
WARNING 2025-08-17 22:26:38,432 basehttp 8 140487683983040 "GET /static/admin/css/responsive.css HTTP/1.1" 404 179
WARNING 2025-08-17 22:26:38,432 basehttp 8 140487700768448 "GET /static/admin/css/login.css HTTP/1.1" 404 179
INFO 2025-08-17 22:27:53,923 basehttp 8 140488233440960 "GET /admin/ HTTP/1.1" 302 0
INFO 2025-08-17 22:27:53,942 basehttp 8 140488233440960 "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4177
WARNING 2025-08-17 22:27:54,018 log 8 140488233440960 Not Found: /static/admin/css/base.css
WARNING 2025-08-17 22:27:54,019 basehttp 8 140488233440960 "GET /static/admin/css/base.css HTTP/1.1" 404 179
WARNING 2025-08-17 22:27:54,028 log 8 140488223999680 Not Found: /static/admin/css/dark_mode.css
WARNING 2025-08-17 22:27:54,030 log 8 140488198821568 Not Found: /static/admin/js/theme.js
WARNING 2025-08-17 22:27:54,031 log 8 140488215606976 Not Found: /static/admin/css/login.css
WARNING 2025-08-17 22:27:54,032 log 8 140488241833664 Not Found: /static/admin/css/nav_sidebar.css
WARNING 2025-08-17 22:27:54,033 basehttp 8 140488223999680 "GET /static/admin/css/dark_mode.css HTTP/1.1" 404 179
WARNING 2025-08-17 22:27:54,034 basehttp 8 140488198821568 "GET /static/admin/js/theme.js HTTP/1.1" 404 179
WARNING 2025-08-17 22:27:54,037 log 8 140488233440960 Not Found: /static/admin/css/responsive.css
